State,Year,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Avg UI
Alabama,2015,6.0,5.8,5.7,5.8,6.1,6.1,6.2,6.2,6.0,5.9,6.0,6.2,6.0
Alaska,2015,6.3,6.3,6.5,6.7,6.8,6.8,6.7,6.6,6.4,6.4,6.4,6.5,6.5
Arizona,2015,6.6,6.5,6.2,6.0,5.8,5.9,6.1,6.3,6.3,6.1,6.0,5.8,6.1
Arkansas,2015,5.6,5.5,5.6,5.7,5.7,5.7,5.6,5.4,5.2,5.1,5.0,4.8,5.4
California,2015,6.9,6.7,6.5,6.3,6.4,6.3,6.2,6.1,5.9,5.8,5.7,5.8,6.2
Colorado,2015,4.2,4.2,4.2,4.2,4.3,4.4,4.3,4.2,4.0,3.8,3.6,3.5,4.1
Connecticut,2015,6.3,6.4,6.4,6.3,6.0,5.7,5.4,5.3,5.2,5.1,5.1,5.2,5.7
Delaware,2015,5.0,4.8,4.6,4.5,4.6,4.7,4.7,4.9,4.9,5.1,5.1,5.0,4.8
D.C.,2015,7.7,7.8,7.7,7.5,7.3,7.0,6.8,6.8,6.7,6.6,6.6,6.6,7.1
Florida,2015,5.7,5.6,5.7,5.6,5.7,5.5,5.4,5.3,5.2,5.1,5.0,5.0,5.4
Georgia,2015,6.4,6.3,6.3,6.3,6.3,6.1,6.0,5.9,5.8,5.7,5.6,5.5,6.0
Hawaii,2015,4.1,4.1,4.1,4.1,4.1,4.0,3.7,3.5,3.4,3.3,3.2,3.2,3.7
Idaho,2015,4.1,3.9,3.8,3.8,3.9,4.0,4.1,4.2,4.2,4.0,3.9,3.9,4.0
Illinois,2015,6.1,6.0,6.0,6.0,6.0,5.9,5.8,5.6,5.4,5.4,5.7,5.9,5.8
Indiana,2015,6.0,5.9,5.8,5.4,5.1,4.9,4.7,4.6,4.5,4.4,4.4,4.4,5.0
Iowa,2015,4.2,4.1,4.0,3.8,3.8,3.7,3.8,3.7,3.6,3.5,3.4,3.4,3.8
Kansas,2015,4.2,4.2,4.2,4.3,4.4,4.5,4.6,4.6,4.4,4.1,4.0,3.9,4.3
Kentucky,2015,5.5,5.2,5.1,5.0,5.1,5.1,5.2,5.2,5.0,4.9,4.9,5.3,5.1
Louisiana,2015,7.0,6.7,6.6,6.6,6.6,6.4,6.2,6.0,6.0,6.2,6.3,6.1,6.4
Maine,2015,5.2,5.0,4.8,4.7,4.7,4.7,4.6,4.5,4.4,4.3,4.1,4.0,4.6
Maryland,2015,5.5,5.5,5.4,5.3,5.3,5.2,5.2,5.1,5.1,5.1,5.2,5.1,5.3
Massachusetts,2015,5.1,4.9,4.8,4.7,4.6,4.6,4.7,4.7,4.6,4.6,4.7,4.7,4.7
Michigan,2015,6.3,5.9,5.6,5.4,5.5,5.5,5.3,5.1,5.0,5.0,5.1,5.1,5.4
Minnesota,2015,3.7,3.7,3.7,3.7,3.8,3.9,4.0,4.0,3.8,3.7,3.5,3.5,3.8
Mississippi,2015,7.1,7.0,6.8,6.6,6.7,6.6,6.5,6.3,6.1,5.9,6.0,6.4,6.5
Missouri,2015,5.5,5.5,5.6,5.7,5.8,5.8,5.8,5.6,5.3,5.0,4.7,4.4,5.4
Montana,2015,4.4,4.3,4.1,4.0,3.9,3.9,4.0,4.1,4.1,4.1,4.0,4.0,4.1
Nebraska,2015,2.9,2.7,2.6,2.5,2.6,2.6,2.7,2.8,2.9,2.9,2.9,2.9,2.8
Nevada,2015,7.1,7.1,7.1,7.1,7.0,6.9,6.8,6.8,6.7,6.6,6.5,6.4,6.8
New Hampshire,2015,4.0,3.9,3.9,3.8,3.8,3.8,3.7,3.6,3.4,3.3,3.2,3.1,3.6
